"Population by Single Year of Age","Number"
"0",""
"Female","298"
"Male","310"
"1",""
"Female","247"
"Male","248"
"10",""
"Female","528"
"Male","516"
"11",""
"Female","374"
"Male","398"
"12",""
"Female","532"
"Male","516"
"13",""
"Female","451"
"Male","441"
"14",""
"Female","474"
"Male","408"
"15",""
"Female","389"
"Male","387"
"16",""
"Female","402"
"Male","357"
"17",""
"Female","369"
"Male","305"
"18",""
"Female","406"
"Male","359"
"19",""
"Female","239"
"Male","197"
"2",""
"Female","278"
"Male","311"
"20",""
"Female","311"
"Male","261"
"21",""
"Female","212"
"Male","179"
"22",""
"Female","272"
"Male","214"
"23",""
"Female","216"
"Male","179"
"24",""
"Female","241"
"Male","183"
"25",""
"Female","340"
"Male","261"
"26",""
"Female","213"
"Male","181"
"27",""
"Female","215"
"Male","182"
"28",""
"Female","262"
"Male","204"
"29",""
"Female","141"
"Male","103"
"3",""
"Female","396"
"Male","315"
"30",""
"Female","329"
"Male","273"
"31",""
"Female","107"
"Male","99"
"32",""
"Female","174"
"Male","172"
"33",""
"Female","173"
"Male","110"
"34",""
"Female","157"
"Male","107"
"35",""
"Female","330"
"Male","327"
"36",""
"Female","201"
"Male","185"
"37",""
"Female","120"
"Male","103"
"38",""
"Female","193"
"Male","187"
"39",""
"Female","114"
"Male","107"
"4",""
"Female","397"
"Male","383"
"40",""
"Female","363"
"Male","322"
"41",""
"Female","99"
"Male","97"
"42",""
"Female","132"
"Male","134"
"43",""
"Female","110"
"Male","88"
"44",""
"Female","109"
"Male","93"
"45",""
"Female","249"
"Male","294"
"46",""
"Female","87"
"Male","127"
"47",""
"Female","86"
"Male","89"
"48",""
"Female","121"
"Male","114"
"49",""
"Female","82"
"Male","85"
"5",""
"Female","449"
"Male","440"
"50",""
"Female","218"
"Male","252"
"51",""
"Female","73"
"Male","64"
"52",""
"Female","86"
"Male","101"
"53",""
"Female","88"
"Male","66"
"54",""
"Female","65"
"Male","43"
"55",""
"Female","134"
"Male","146"
"56",""
"Female","82"
"Male","77"
"57",""
"Female","84"
"Male","97"
"58",""
"Female","80"
"Male","86"
"59",""
"Female","57"
"Male","50"
"6",""
"Female","445"
"Male","403"
"60",""
"Female","183"
"Male","159"
"61",""
"Female","46"
"Male","58"
"62",""
"Female","60"
"Male","61"
"63",""
"Female","40"
"Male","32"
"64",""
"Female","39"
"Male","40"
"65",""
"Female","115"
"Male","104"
"66",""
"Female","40"
"Male","36"
"67",""
"Female","43"
"Male","56"
"68",""
"Female","60"
"Male","61"
"69",""
"Female","38"
"Male","37"
"7",""
"Female","479"
"Male","455"
"70",""
"Female","97"
"Male","94"
"71",""
"Female","20"
"Male","16"
"72",""
"Female","36"
"Male","29"
"73",""
"Female","20"
"Male","15"
"74",""
"Female","15"
"Male","21"
"75",""
"Female","55"
"Male","37"
"76",""
"Female","18"
"Male","13"
"77",""
"Female","17"
"Male","20"
"78",""
"Female","31"
"Male","28"
"79",""
"Female","6"
"Male","3"
"8",""
"Female","476"
"Male","492"
"80",""
"Female","37"
"Male","33"
"81",""
"Female","6"
"Male","6"
"82",""
"Female","3"
"Male","12"
"83",""
"Female","5"
"Male","4"
"84",""
"Female","10"
"Male","11"
"85",""
"Female","54"
"Male","51"
"9",""
"Female","411"
"Male","407"
