"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","34"
"","82"
"Deaf/hard of hearing",""
"Female","26"
"Male","43"
"","69"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","13"
"Male","16"
"","29"
"Multiple disable",""
"Female","9"
"Male","7"
"","16"
"No disability",""
"Female","8527"
"Male","7308"
"","15835"
"Physical",""
"Female","68"
"Male","90"
"","158"
"Speech problem",""
"Female","17"
"Male","22"
"","39"
