"Population by Educational Attainment","Number"
"Beginners",""
"Female","298"
"Male","335"
"Graduate and Equivalent",""
"Female","56"
"Male","118"
"Intermediate and Equivalent",""
"Female","476"
"Male","533"
"Level not Stated",""
"Female","59"
"Male","101"
"Lower Secondary (Class 6-8)",""
"Female","1961"
"Male","2162"
"Non Formal Education",""
"Female","669"
"Male","594"
"Others",""
"Female","6"
"Male","12"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","52"
"Primary Education (1-5 Class)",""
"Female","5192"
"Male","5743"
"Secondary Level (Class 9-10)",""
"Female","723"
"Male","987"
"SLC and Equivalent",""
"Female","708"
"Male","1040"
