"Population by disability type","Number"
"Blind/low vision",""
"Female","115"
"Male","94"
"","209"
"Deaf/hard of hearing",""
"Female","53"
"Male","61"
"","114"
"Deaf-Blind",""
"Female","12"
"Male","5"
"","17"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","8"
"Male","14"
"","22"
"Multiple disable",""
"Female","22"
"Male","20"
"","42"
"No disability",""
"Female","8706"
"Male","7758"
"","16464"
"Physical",""
"Female","94"
"Male","121"
"","215"
"Speech problem",""
"Female","21"
"Male","39"
"","60"
