"Population by disability type","Number"
"Blind/low vision",""
"Female","830"
"Male","790"
"","1620"
"Deaf/hard of hearing",""
"Female","801"
"Male","852"
"","1653"
"Deaf-Blind",""
"Female","65"
"Male","73"
"","138"
"Intellectual disable",""
"Female","89"
"Male","112"
"","201"
"Mental disable",""
"Female","246"
"Male","286"
"","532"
"Multiple disable",""
"Female","312"
"Male","386"
"","698"
"No disability",""
"Female","175987"
"Male","157145"
"","333132"
"Physical",""
"Female","1972"
"Male","2574"
"","4546"
"Speech problem",""
"Female","344"
"Male","454"
"","798"
