"Population by disability type","Number"
"Blind/low vision",""
"Female","33"
"Male","31"
"","64"
"Deaf/hard of hearing",""
"Female","45"
"Male","74"
"","119"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","5"
"Male","6"
"","11"
"Multiple disable",""
"Female","6"
"Male","11"
"","17"
"No disability",""
"Female","7104"
"Male","7094"
"","14198"
"Physical",""
"Female","65"
"Male","95"
"","160"
"Speech problem",""
"Female","27"
"Male","29"
"","56"
