"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","42"
"","78"
"Deaf/hard of hearing",""
"Female","43"
"Male","43"
"","86"
"Deaf-Blind",""
"Female","7"
"Male","3"
"","10"
"Intellectual disable",""
"Female","10"
"Male","9"
"","19"
"Mental disable",""
"Female","20"
"Male","11"
"","31"
"Multiple disable",""
"Female","26"
"Male","32"
"","58"
"No disability",""
"Female","20508"
"Male","19225"
"","39733"
"Physical",""
"Female","87"
"Male","138"
"","225"
"Speech problem",""
"Female","69"
"Male","90"
"","159"
