"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","53"
"","114"
"Deaf/hard of hearing",""
"Female","85"
"Male","81"
"","166"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","12"
"Male","5"
"","17"
"Mental disable",""
"Female","14"
"Male","20"
"","34"
"Multiple disable",""
"Female","19"
"Male","30"
"","49"
"No disability",""
"Female","13443"
"Male","12549"
"","25992"
"Physical",""
"Female","151"
"Male","211"
"","362"
"Speech problem",""
"Female","29"
"Male","35"
"","64"
