"Population by Educational Attainment","Number"
"Beginners",""
"Female","748"
"Male","846"
"Graduate and Equivalent",""
"Female","180"
"Male","249"
"Intermediate and Equivalent",""
"Female","832"
"Male","871"
"Level not Stated",""
"Female","57"
"Male","55"
"Lower Secondary (Class 6-8)",""
"Female","4126"
"Male","4012"
"Non Formal Education",""
"Female","1420"
"Male","1348"
"Others",""
"Female","17"
"Male","20"
"Post Graduate Equivalent and Above",""
"Female","16"
"Male","82"
"Primary Education (1-5 Class)",""
"Female","7323"
"Male","8340"
"Secondary Level (Class 9-10)",""
"Female","1891"
"Male","1856"
"SLC and Equivalent",""
"Female","1684"
"Male","1855"
