"Population by disability type","Number"
"Blind/low vision",""
"Female","57"
"Male","52"
"","109"
"Deaf/hard of hearing",""
"Female","20"
"Male","42"
"","62"
"Deaf-Blind",""
"Female","7"
"Male","5"
"","12"
"Intellectual disable",""
"Female","17"
"Male","13"
"","30"
"Mental disable",""
"Female","16"
"Male","23"
"","39"
"Multiple disable",""
"Female","20"
"Male","17"
"","37"
"No disability",""
"Female","20440"
"Male","20705"
"","41145"
"Physical",""
"Female","104"
"Male","225"
"","329"
"Speech problem",""
"Female","20"
"Male","36"
"","56"
