"Population by Educational Attainment","Number"
"Beginners",""
"Female","399"
"Male","405"
"","804"
"Graduate and Equivalent",""
"Female","5"
"Male","31"
"","36"
"Intermediate and Equivalent",""
"Female","39"
"Male","108"
"","147"
"Level not Stated",""
"Female","6"
"Male","6"
"","12"
"Lower Secondary (Class 6-8)",""
"Female","1020"
"Male","1164"
"","2184"
"Non Formal Education",""
"Female","365"
"Male","314"
"","679"
"Others",""
"Female","8"
"Male","11"
"","19"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","4"
"","6"
"Primary Education (1-5 Class)",""
"Female","3605"
"Male","4703"
"","8308"
"Secondary Level (Class 9-10)",""
"Female","206"
"Male","273"
"","479"
"SLC and Equivalent",""
"Female","116"
"Male","250"
"","366"
