"Population by Educational Attainment","Number"
"Beginners",""
"Female","174"
"Male","196"
"Graduate and Equivalent",""
"Female","61"
"Male","116"
"Intermediate and Equivalent",""
"Female","249"
"Male","330"
"Level not Stated",""
"Female","13"
"Male","19"
"Lower Secondary (Class 6-8)",""
"Female","993"
"Male","1235"
"Non Formal Education",""
"Female","157"
"Male","103"
"Others",""
"Female","1"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","51"
"Primary Education (1-5 Class)",""
"Female","1886"
"Male","2034"
"Secondary Level (Class 9-10)",""
"Female","511"
"Male","693"
"SLC and Equivalent",""
"Female","415"
"Male","548"
