"Population by Educational Attainment","Number"
"Beginners",""
"Female","650"
"Male","817"
"","1467"
"Graduate and Equivalent",""
"Female","73"
"Male","252"
"","325"
"Intermediate and Equivalent",""
"Female","507"
"Male","834"
"","1341"
"Level not Stated",""
"Female","73"
"Male","59"
"","132"
"Lower Secondary (Class 6-8)",""
"Female","2258"
"Male","3464"
"","5722"
"Non Formal Education",""
"Female","382"
"Male","494"
"","876"
"Others",""
"Female","6"
"Male","19"
"","25"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","67"
"","77"
"Primary Education (1-5 Class)",""
"Female","5496"
"Male","7089"
"","12585"
"Secondary Level (Class 9-10)",""
"Female","988"
"Male","1621"
"","2609"
"SLC and Equivalent",""
"Female","1020"
"Male","1565"
"","2585"
