"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","68"
"","139"
"Deaf/hard of hearing",""
"Female","48"
"Male","51"
"","99"
"Deaf-Blind",""
"Female","12"
"Male","9"
"","21"
"Intellectual disable",""
"Female","20"
"Male","23"
"","43"
"Mental disable",""
"Female","17"
"Male","30"
"","47"
"Multiple disable",""
"Female","33"
"Male","34"
"","67"
"No disability",""
"Female","29966"
"Male","29136"
"","59102"
"Physical",""
"Female","114"
"Male","201"
"","315"
"Speech problem",""
"Female","62"
"Male","91"
"","153"
