"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","29"
"","60"
"Deaf/hard of hearing",""
"Female","15"
"Male","16"
"","31"
"Deaf-Blind",""
"Female","4"
"Male","1"
"","5"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","11"
"Male","6"
"","17"
"Multiple disable",""
"Female","20"
"Male","10"
"","30"
"No disability",""
"Female","8554"
"Male","6898"
"","15452"
"Physical",""
"Female","34"
"Male","57"
"","91"
"Speech problem",""
"Female","11"
"Male","11"
"","22"
