"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","32"
"","63"
"Deaf/hard of hearing",""
"Female","39"
"Male","37"
"","76"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","1"
"Male","5"
"","6"
"Mental disable",""
"Female","8"
"Male","4"
"","12"
"Multiple disable",""
"Female","10"
"Male","8"
"","18"
"No disability",""
"Female","5183"
"Male","5050"
"","10233"
"Physical",""
"Female","50"
"Male","67"
"","117"
"Speech problem",""
"Female","6"
"Male","17"
"","23"
