"Population by Educational Attainment","Number"
"Beginners",""
"Female","141"
"Male","156"
"Graduate and Equivalent",""
"Female","23"
"Male","65"
"Intermediate and Equivalent",""
"Female","202"
"Male","195"
"Level not Stated",""
"Female","34"
"Male","46"
"Lower Secondary (Class 6-8)",""
"Female","1073"
"Male","1164"
"Non Formal Education",""
"Female","249"
"Male","205"
"Others",""
"Female","5"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","32"
"Primary Education (1-5 Class)",""
"Female","2017"
"Male","2394"
"Secondary Level (Class 9-10)",""
"Female","493"
"Male","548"
"SLC and Equivalent",""
"Female","395"
"Male","575"
