"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","16"
"","38"
"Deaf/hard of hearing",""
"Female","43"
"Male","68"
"","111"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","4"
"Male","2"
"","6"
"Mental disable",""
"Female","3"
"Male","4"
"","7"
"Multiple disable",""
"Female","23"
"Male","29"
"","52"
"No disability",""
"Female","4700"
"Male","4747"
"","9447"
"Physical",""
"Female","71"
"Male","82"
"","153"
"Speech problem",""
"Female","22"
"Male","28"
"","50"
