"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","46"
"","82"
"Deaf/hard of hearing",""
"Female","50"
"Male","52"
"","102"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","13"
"Male","8"
"","21"
"Mental disable",""
"Female","24"
"Male","25"
"","49"
"Multiple disable",""
"Female","40"
"Male","34"
"","74"
"No disability",""
"Female","21305"
"Male","18175"
"","39480"
"Physical",""
"Female","91"
"Male","131"
"","222"
"Speech problem",""
"Female","43"
"Male","64"
"","107"
