"Population by Mother tongue","Number"
"Bangla",""
"Female","123"
"Male","137"
"","260"
"Bantawa",""
"Female","55"
"Male","31"
"","86"
"Bhojpuri",""
"Female","40"
"Male","27"
"","67"
"Bhujel",""
"Female","74"
"Male","62"
"","136"
"Chamling",""
"Female","28"
"Male","17"
"","45"
"Danuwar",""
"Female","12"
"Male","8"
"","20"
"Doteli",""
"Female","5"
"Male","14"
"","19"
"Dumi",""
"Female","9"
"Male","8"
"","17"
"Gurung",""
"Female","135"
"Male","108"
"","243"
"Hindi",""
"Female","52"
"Male","79"
"","131"
"Koyee",""
"Female","8"
"Male","7"
"","15"
"Kulung",""
"Female","5"
"Male","6"
"","11"
"Kumal",""
"Female","35"
"Male","37"
"","72"
"Limbu",""
"Female","459"
"Male","410"
"","869"
"Magahi",""
"Female","8"
"Male","4"
"","12"
"Magar",""
"Female","295"
"Male","272"
"","567"
"Maithili",""
"Female","713"
"Male","746"
"","1459"
"Majhi",""
"Female","11"
"Male","11"
"","22"
"Nachhiring",""
"Female","7"
"Male","5"
"","12"
"Nepali",""
"Female","16013"
"Male","13373"
"","29386"
"Newar",""
"Female","247"
"Male","222"
"","469"
"Not Reported",""
"Female","22"
"Male","18"
"","40"
"Others",""
"Female","65"
"Male","75"
"","140"
"Puma",""
"Female","8"
"Male","7"
"","15"
"Rai",""
"Female","277"
"Male","235"
"","512"
"Rajbanshi",""
"Female","886"
"Male","768"
"","1654"
"Rajsthani",""
"Female","31"
"Male","37"
"","68"
"Santhali",""
"Female","1149"
"Male","1044"
"","2193"
"Sherpa",""
"Female","16"
"Male","17"
"","33"
"Sunuwar",""
"Female","27"
"Male","20"
"","47"
"Tajpuriya",""
"Female","12"
"Male","10"
"","22"
"Tamang",""
"Female","363"
"Male","317"
"","680"
"Tharu",""
"Female","250"
"Male","236"
"","486"
"Thulung",""
"Female","20"
"Male","21"
"","41"
"Urdu",""
"Female","127"
"Male","128"
"","255"
"Yakkha",""
"Female","18"
"Male","19"
"","37"
