"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","64"
"Male","55"
"Bantar/Sardar",""
"Female","7"
"Male","8"
"Baraee",""
"Female","187"
"Male","163"
"Bin",""
"Female","178"
"Male","144"
"Brahman - Hill",""
"Female","565"
"Male","509"
"Brahman - Tarai",""
"Female","13"
"Male","14"
"Chamar/ Harijan/ Ram",""
"Female","556"
"Male","506"
"Chhetri",""
"Female","859"
"Male","740"
"Damai/Dholi",""
"Female","123"
"Male","105"
"Danuwar",""
"Female","1107"
"Male","957"
"Dhanuk",""
"Female","304"
"Male","267"
"Dom",""
"Female","19"
"Male","21"
"Dusadh/ Pasawan/ Pasi",""
"Female","1581"
"Male","1408"
"Gaderi/Bhedihar",""
"Female","133"
"Male","135"
"Gangai",""
"Female","9"
"Male","8"
"Gharti/Bhujel",""
"Female","18"
"Male","11"
"Gurung",""
"Female","26"
"Male","36"
"Hajam/Thakur",""
"Female","199"
"Male","184"
"Halwai",""
"Female","975"
"Male","884"
"Hayu",""
"Female","25"
"Male","26"
"Kalar",""
"Female","7"
"Male","8"
"Kalwar",""
"Female","42"
"Male","33"
"Kami",""
"Female","223"
"Male","224"
"Kathabaniyan",""
"Female","41"
"Male","41"
"Kayastha",""
"Female","46"
"Male","41"
"Kewat",""
"Female","255"
"Male","202"
"Koiri/Kushwaha",""
"Female","844"
"Male","868"
"Kumhar",""
"Female","13"
"Male","9"
"Kurmi",""
"Female","107"
"Male","99"
"Lohar",""
"Female","6"
"Male","8"
"Magar",""
"Female","153"
"Male","138"
"Majhi",""
"Female","16"
"Male","8"
"Mali",""
"Female","24"
"Male","15"
"Mallaha",""
"Female","551"
"Male","475"
"Musahar",""
"Female","1361"
"Male","1372"
"Musalman",""
"Female","666"
"Male","519"
"Natuwa",""
"Female","37"
"Male","38"
"Newar",""
"Female","126"
"Male","101"
"Nuniya",""
"Female","12"
"Male","15"
"Others",""
"Female","17"
"Male","15"
"Rai",""
"Female","157"
"Male","146"
"Rajput",""
"Female","19"
"Male","23"
"Sanyasi/Dasnami",""
"Female","21"
"Male","17"
"Sarki",""
"Female","9"
"Male","4"
"Sonar",""
"Female","24"
"Male","19"
"Sudhi",""
"Female","915"
"Male","843"
"Sunuwar",""
"Female","35"
"Male","30"
"Tamang",""
"Female","388"
"Male","365"
"Tatma/Tatwa",""
"Female","639"
"Male","583"
"Teli",""
"Female","776"
"Male","680"
"Terai Others",""
"Female","127"
"Male","87"
"Thakuri",""
"Female","15"
"Male","14"
"Tharu",""
"Female","6"
"Male","5"
"Undefined Others",""
"Female","11"
"Male","8"
"Yadav",""
"Female","1560"
"Male","1536"
