"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","35"
"","83"
"Deaf/hard of hearing",""
"Female","13"
"Male","10"
"","23"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","2"
"Male","2"
"","4"
"Mental disable",""
"Female","7"
"Male","4"
"","11"
"Multiple disable",""
"Female","6"
"Male","6"
"","12"
"No disability",""
"Female","15725"
"Male","16672"
"","32397"
"Physical",""
"Female","32"
"Male","70"
"","102"
"Speech problem",""
"Female","12"
"Male","11"
"","23"
