"Population by disability type","Number"
"Blind/low vision",""
"Female","627"
"Male","715"
"","1342"
"Deaf/hard of hearing",""
"Female","604"
"Male","638"
"","1242"
"Deaf-Blind",""
"Female","56"
"Male","65"
"","121"
"Intellectual disable",""
"Female","154"
"Male","210"
"","364"
"Mental disable",""
"Female","226"
"Male","295"
"","521"
"Multiple disable",""
"Female","230"
"Male","280"
"","510"
"No disability",""
"Female","242782"
"Male","234995"
"","477777"
"Physical",""
"Female","1019"
"Male","1578"
"","2597"
"Speech problem",""
"Female","296"
"Male","394"
"","690"
