"Population by Educational Attainment","Number"
"Beginners",""
"Female","146"
"Male","144"
"Graduate and Equivalent",""
"Female","22"
"Male","76"
"Intermediate and Equivalent",""
"Female","206"
"Male","168"
"Level not Stated",""
"Female","25"
"Male","14"
"Lower Secondary (Class 6-8)",""
"Female","1387"
"Male","1461"
"Non Formal Education",""
"Female","323"
"Male","322"
"Others",""
"Female","7"
"Male","6"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","7"
"Primary Education (1-5 Class)",""
"Female","2726"
"Male","2949"
"Secondary Level (Class 9-10)",""
"Female","744"
"Male","930"
"SLC and Equivalent",""
"Female","443"
"Male","444"
