"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","8"
"Male","9"
"Badhaee",""
"Female","85"
"Male","93"
"Baraee",""
"Female","281"
"Male","300"
"Bin",""
"Female","117"
"Male","117"
"Brahman - Hill",""
"Female","328"
"Male","306"
"Brahman - Tarai",""
"Female","534"
"Male","528"
"Chamar/ Harijan/ Ram",""
"Female","662"
"Male","705"
"Chhetri",""
"Female","44"
"Male","49"
"Damai/Dholi",""
"Female","7"
"Male","6"
"Danuwar",""
"Female","21"
"Male","21"
"Dhanuk",""
"Female","89"
"Male","109"
"Dhobi",""
"Female","275"
"Male","274"
"Dhunia",""
"Female","14"
"Male","20"
"Dom",""
"Female","27"
"Male","29"
"Dusadh/ Pasawan/ Pasi",""
"Female","849"
"Male","865"
"Gaderi/Bhedihar",""
"Female","28"
"Male","25"
"Gharti/Bhujel",""
"Female","7"
"Male","7"
"Hajam/Thakur",""
"Female","253"
"Male","252"
"Halkhor",""
"Female","79"
"Male","82"
"Halwai",""
"Female","178"
"Male","204"
"Hyolmo",""
"Female","85"
"Male","86"
"Kalwar",""
"Female","1055"
"Male","1124"
"Kami",""
"Female","7"
"Male","7"
"Kanu",""
"Female","294"
"Male","313"
"Kathabaniyan",""
"Female","425"
"Male","462"
"Kayastha",""
"Female","328"
"Male","349"
"Kewat",""
"Female","11"
"Male","10"
"Khatwe",""
"Female","260"
"Male","276"
"Koiri/Kushwaha",""
"Female","666"
"Male","766"
"Kumhar",""
"Female","391"
"Male","428"
"Kurmi",""
"Female","172"
"Male","198"
"Limbu",""
"Female","7"
"Male","5"
"Lohar",""
"Female","328"
"Male","367"
"Magar",""
"Female","28"
"Male","26"
"Mali",""
"Female","74"
"Male","81"
"Mallaha",""
"Female","472"
"Male","478"
"Marwadi",""
"Female","102"
"Male","112"
"Musalman",""
"Female","4531"
"Male","4370"
"Newar",""
"Female","248"
"Male","244"
"Nuniya",""
"Female","442"
"Male","450"
"Others",""
"Female","44"
"Male","37"
"Pattharkatta/ Kushwadiya",""
"Female","10"
"Male","12"
"Rajput",""
"Female","156"
"Male","183"
"Sanyasi/Dasnami",""
"Female","124"
"Male","109"
"Sonar",""
"Female","611"
"Male","685"
"Sudhi",""
"Female","431"
"Male","481"
"Tamang",""
"Female","8"
"Male","8"
"Tatma/Tatwa",""
"Female","288"
"Male","327"
"Teli",""
"Female","1283"
"Male","1408"
"Terai Others",""
"Female","7"
"Male","4"
"Tharu",""
"Female","88"
"Male","95"
"Undefined Others",""
"Female","25"
"Male","23"
"Yadav",""
"Female","5808"
"Male","6296"
