"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","39"
"","80"
"Deaf/hard of hearing",""
"Female","80"
"Male","91"
"","171"
"Deaf-Blind",""
"Female","0"
"Male","9"
"","9"
"Intellectual disable",""
"Female","7"
"Male","25"
"","32"
"Mental disable",""
"Female","25"
"Male","18"
"","43"
"Multiple disable",""
"Female","11"
"Male","21"
"","32"
"No disability",""
"Female","12089"
"Male","9800"
"","21889"
"Physical",""
"Female","114"
"Male","161"
"","275"
"Speech problem",""
"Female","29"
"Male","51"
"","80"
