"Population by disability type","Number"
"Blind/low vision",""
"Female","628"
"Male","535"
"","1163"
"Deaf/hard of hearing",""
"Female","479"
"Male","454"
"","933"
"Deaf-Blind",""
"Female","62"
"Male","45"
"","107"
"Intellectual disable",""
"Female","41"
"Male","52"
"","93"
"Mental disable",""
"Female","90"
"Male","107"
"","197"
"Multiple disable",""
"Female","135"
"Male","120"
"","255"
"No disability",""
"Female","99914"
"Male","89814"
"","189728"
"Physical",""
"Female","859"
"Male","982"
"","1841"
"Speech problem",""
"Female","148"
"Male","236"
"","384"
