"Population by Single Year of Age","Number"
"0",""
"Female","98"
"Male","110"
"1",""
"Female","115"
"Male","105"
"10",""
"Female","136"
"Male","138"
"11",""
"Female","126"
"Male","106"
"12",""
"Female","150"
"Male","142"
"13",""
"Female","137"
"Male","129"
"14",""
"Female","132"
"Male","119"
"15",""
"Female","117"
"Male","130"
"16",""
"Female","112"
"Male","126"
"17",""
"Female","78"
"Male","65"
"18",""
"Female","147"
"Male","137"
"19",""
"Female","73"
"Male","77"
"2",""
"Female","143"
"Male","128"
"20",""
"Female","109"
"Male","71"
"21",""
"Female","102"
"Male","82"
"22",""
"Female","98"
"Male","102"
"23",""
"Female","73"
"Male","81"
"24",""
"Female","97"
"Male","64"
"25",""
"Female","128"
"Male","92"
"26",""
"Female","80"
"Male","70"
"27",""
"Female","78"
"Male","78"
"28",""
"Female","77"
"Male","95"
"29",""
"Female","51"
"Male","48"
"3",""
"Female","166"
"Male","139"
"30",""
"Female","124"
"Male","103"
"31",""
"Female","42"
"Male","51"
"32",""
"Female","61"
"Male","57"
"33",""
"Female","42"
"Male","46"
"34",""
"Female","31"
"Male","41"
"35",""
"Female","100"
"Male","107"
"36",""
"Female","52"
"Male","58"
"37",""
"Female","29"
"Male","35"
"38",""
"Female","73"
"Male","47"
"39",""
"Female","29"
"Male","22"
"4",""
"Female","141"
"Male","170"
"40",""
"Female","105"
"Male","81"
"41",""
"Female","35"
"Male","27"
"42",""
"Female","40"
"Male","60"
"43",""
"Female","29"
"Male","38"
"44",""
"Female","20"
"Male","33"
"45",""
"Female","58"
"Male","62"
"46",""
"Female","29"
"Male","37"
"47",""
"Female","28"
"Male","30"
"48",""
"Female","49"
"Male","44"
"49",""
"Female","16"
"Male","26"
"5",""
"Female","156"
"Male","164"
"50",""
"Female","64"
"Male","55"
"51",""
"Female","21"
"Male","33"
"52",""
"Female","28"
"Male","42"
"53",""
"Female","18"
"Male","17"
"54",""
"Female","6"
"Male","20"
"55",""
"Female","37"
"Male","43"
"56",""
"Female","13"
"Male","37"
"57",""
"Female","12"
"Male","14"
"58",""
"Female","18"
"Male","29"
"59",""
"Female","17"
"Male","17"
"6",""
"Female","162"
"Male","136"
"60",""
"Female","62"
"Male","55"
"61",""
"Female","34"
"Male","25"
"62",""
"Female","21"
"Male","30"
"63",""
"Female","15"
"Male","12"
"64",""
"Female","10"
"Male","17"
"65",""
"Female","28"
"Male","21"
"66",""
"Female","11"
"Male","16"
"67",""
"Female","8"
"Male","11"
"68",""
"Female","8"
"Male","11"
"69",""
"Female","5"
"Male","3"
"7",""
"Female","148"
"Male","132"
"70",""
"Female","8"
"Male","16"
"71",""
"Female","1"
"Male","4"
"72",""
"Female","10"
"Male","9"
"73",""
"Female","0"
"Male","6"
"74",""
"Female","1"
"Male","3"
"75",""
"Female","2"
"Male","7"
"76",""
"Female","2"
"Male","4"
"77",""
"Female","3"
"Male","5"
"78",""
"Female","1"
"Male","2"
"79",""
"Female","2"
"Male","1"
"8",""
"Female","170"
"Male","161"
"80",""
"Female","3"
"Male","3"
"81",""
"Female","1"
"Male","2"
"82",""
"Female","0"
"Male","3"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","3"
"Male","2"
"9",""
"Female","137"
"Male","138"
