"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","40"
"","69"
"Deaf/hard of hearing",""
"Female","18"
"Male","30"
"","48"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","6"
"Male","9"
"","15"
"Mental disable",""
"Female","17"
"Male","29"
"","46"
"Multiple disable",""
"Female","16"
"Male","21"
"","37"
"No disability",""
"Female","19726"
"Male","18253"
"","37979"
"Physical",""
"Female","77"
"Male","128"
"","205"
"Speech problem",""
"Female","25"
"Male","34"
"","59"
