"Population by Educational Attainment","Number"
"Beginners",""
"Female","218"
"Male","209"
"Graduate and Equivalent",""
"Female","11"
"Male","63"
"Intermediate and Equivalent",""
"Female","104"
"Male","191"
"Level not Stated",""
"Female","15"
"Male","10"
"Lower Secondary (Class 6-8)",""
"Female","833"
"Male","1232"
"Non Formal Education",""
"Female","92"
"Male","55"
"Others",""
"Female","2"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","11"
"Primary Education (1-5 Class)",""
"Female","2126"
"Male","2334"
"Secondary Level (Class 9-10)",""
"Female","289"
"Male","647"
"SLC and Equivalent",""
"Female","116"
"Male","259"
