"Population by disability type","Number"
"Blind/low vision",""
"Female","19"
"Male","33"
"","52"
"Deaf/hard of hearing",""
"Female","72"
"Male","90"
"","162"
"Deaf-Blind",""
"Female","3"
"Male","10"
"","13"
"Intellectual disable",""
"Female","5"
"Male","0"
"","5"
"Mental disable",""
"Female","6"
"Male","11"
"","17"
"Multiple disable",""
"Female","2"
"Male","5"
"","7"
"No disability",""
"Female","7106"
"Male","7036"
"","14142"
"Physical",""
"Female","51"
"Male","82"
"","133"
"Speech problem",""
"Female","19"
"Male","21"
"","40"
