"Population by Educational Attainment","Number"
"Beginners",""
"Female","255"
"Male","291"
"","546"
"Graduate and Equivalent",""
"Female","3"
"Male","28"
"","31"
"Intermediate and Equivalent",""
"Female","12"
"Male","89"
"","101"
"Level not Stated",""
"Female","5"
"Male","6"
"","11"
"Lower Secondary (Class 6-8)",""
"Female","329"
"Male","801"
"","1130"
"Non Formal Education",""
"Female","29"
"Male","52"
"","81"
"Others",""
"Female","1"
"Male","3"
"","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"","2"
"Primary Education (1-5 Class)",""
"Female","1261"
"Male","2001"
"","3262"
"Secondary Level (Class 9-10)",""
"Female","99"
"Male","364"
"","463"
"SLC and Equivalent",""
"Female","70"
"Male","251"
"","321"
