"Population by disability type","Number"
"Blind/low vision",""
"Female","10"
"Male","11"
"","21"
"Deaf/hard of hearing",""
"Female","23"
"Male","21"
"","44"
"Deaf-Blind",""
"Female","0"
"Male","2"
"","2"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","8"
"Male","8"
"","16"
"Multiple disable",""
"Female","11"
"Male","9"
"","20"
"No disability",""
"Female","4293"
"Male","3725"
"","8018"
"Physical",""
"Female","46"
"Male","49"
"","95"
"Speech problem",""
"Female","16"
"Male","17"
"","33"
