"Population by Single Year of Age","Number"
"0",""
"Female","232"
"Male","245"
"1",""
"Female","245"
"Male","267"
"10",""
"Female","411"
"Male","424"
"11",""
"Female","327"
"Male","375"
"12",""
"Female","411"
"Male","469"
"13",""
"Female","376"
"Male","373"
"14",""
"Female","398"
"Male","371"
"15",""
"Female","401"
"Male","377"
"16",""
"Female","369"
"Male","269"
"17",""
"Female","363"
"Male","276"
"18",""
"Female","375"
"Male","235"
"19",""
"Female","286"
"Male","169"
"2",""
"Female","288"
"Male","282"
"20",""
"Female","340"
"Male","170"
"21",""
"Female","219"
"Male","141"
"22",""
"Female","291"
"Male","138"
"23",""
"Female","258"
"Male","82"
"24",""
"Female","216"
"Male","104"
"25",""
"Female","288"
"Male","106"
"26",""
"Female","199"
"Male","95"
"27",""
"Female","220"
"Male","113"
"28",""
"Female","228"
"Male","118"
"29",""
"Female","133"
"Male","67"
"3",""
"Female","257"
"Male","310"
"30",""
"Female","272"
"Male","112"
"31",""
"Female","123"
"Male","75"
"32",""
"Female","173"
"Male","97"
"33",""
"Female","146"
"Male","72"
"34",""
"Female","142"
"Male","60"
"35",""
"Female","264"
"Male","106"
"36",""
"Female","162"
"Male","91"
"37",""
"Female","134"
"Male","87"
"38",""
"Female","151"
"Male","89"
"39",""
"Female","145"
"Male","81"
"4",""
"Female","326"
"Male","325"
"40",""
"Female","287"
"Male","161"
"41",""
"Female","129"
"Male","75"
"42",""
"Female","164"
"Male","116"
"43",""
"Female","129"
"Male","102"
"44",""
"Female","94"
"Male","70"
"45",""
"Female","209"
"Male","117"
"46",""
"Female","125"
"Male","82"
"47",""
"Female","140"
"Male","87"
"48",""
"Female","135"
"Male","113"
"49",""
"Female","119"
"Male","98"
"5",""
"Female","327"
"Male","294"
"50",""
"Female","204"
"Male","135"
"51",""
"Female","99"
"Male","92"
"52",""
"Female","139"
"Male","125"
"53",""
"Female","95"
"Male","88"
"54",""
"Female","75"
"Male","95"
"55",""
"Female","143"
"Male","99"
"56",""
"Female","115"
"Male","84"
"57",""
"Female","94"
"Male","87"
"58",""
"Female","82"
"Male","84"
"59",""
"Female","74"
"Male","63"
"6",""
"Female","271"
"Male","295"
"60",""
"Female","194"
"Male","125"
"61",""
"Female","115"
"Male","84"
"62",""
"Female","91"
"Male","64"
"63",""
"Female","81"
"Male","88"
"64",""
"Female","68"
"Male","60"
"65",""
"Female","108"
"Male","78"
"66",""
"Female","48"
"Male","63"
"67",""
"Female","88"
"Male","87"
"68",""
"Female","65"
"Male","79"
"69",""
"Female","18"
"Male","50"
"7",""
"Female","305"
"Male","328"
"70",""
"Female","79"
"Male","71"
"71",""
"Female","39"
"Male","36"
"72",""
"Female","48"
"Male","65"
"73",""
"Female","36"
"Male","38"
"74",""
"Female","26"
"Male","30"
"75",""
"Female","48"
"Male","38"
"76",""
"Female","33"
"Male","27"
"77",""
"Female","35"
"Male","34"
"78",""
"Female","41"
"Male","58"
"79",""
"Female","16"
"Male","25"
"8",""
"Female","338"
"Male","331"
"80",""
"Female","40"
"Male","27"
"81",""
"Female","13"
"Male","18"
"82",""
"Female","13"
"Male","19"
"83",""
"Female","7"
"Male","26"
"84",""
"Female","22"
"Male","25"
"85",""
"Female","59"
"Male","52"
"9",""
"Female","318"
"Male","300"
