"Population by disability type","Number"
"Blind/low vision",""
"Female","13"
"Male","19"
"","32"
"Deaf/hard of hearing",""
"Female","21"
"Male","19"
"","40"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","2"
"Male","3"
"","5"
"Mental disable",""
"Female","13"
"Male","18"
"","31"
"Multiple disable",""
"Female","10"
"Male","10"
"","20"
"No disability",""
"Female","7438"
"Male","5724"
"","13162"
"Physical",""
"Female","38"
"Male","30"
"","68"
"Speech problem",""
"Female","18"
"Male","24"
"","42"
