"Population by disability type","Number"
"Blind/low vision",""
"Female","170"
"Male","108"
"","278"
"Deaf/hard of hearing",""
"Female","94"
"Male","84"
"","178"
"Deaf-Blind",""
"Female","7"
"Male","8"
"","15"
"Intellectual disable",""
"Female","14"
"Male","9"
"","23"
"Mental disable",""
"Female","38"
"Male","28"
"","66"
"Multiple disable",""
"Female","40"
"Male","34"
"","74"
"No disability",""
"Female","24378"
"Male","21012"
"","45390"
"Physical",""
"Female","128"
"Male","180"
"","308"
"Speech problem",""
"Female","65"
"Male","40"
"","105"
