"Population by Caste Ethinicity","Number"
"Badi",""
"Female","98"
"Male","87"
"","185"
"Bote",""
"Female","6"
"Male","9"
"","15"
"Brahman - Hill",""
"Female","2034"
"Male","1707"
"","3741"
"Brahman - Tarai",""
"Female","9"
"Male","9"
"","18"
"Chhetri",""
"Female","5012"
"Male","3932"
"","8944"
"Damai/Dholi",""
"Female","530"
"Male","462"
"","992"
"Dhobi",""
"Female","8"
"Male","5"
"","13"
"Gaine",""
"Female","66"
"Male","49"
"","115"
"Ghale",""
"Female","6"
"Male","5"
"","11"
"Gurung",""
"Female","779"
"Male","596"
"","1375"
"Halwai",""
"Female","6"
"Male","8"
"","14"
"Kalwar",""
"Female","10"
"Male","14"
"","24"
"Kami",""
"Female","2447"
"Male","1966"
"","4413"
"Kumal",""
"Female","57"
"Male","56"
"","113"
"Lohar",""
"Female","12"
"Male","11"
"","23"
"Magar",""
"Female","1434"
"Male","1184"
"","2618"
"Majhi",""
"Female","15"
"Male","8"
"","23"
"Musalman",""
"Female","143"
"Male","133"
"","276"
"Newar",""
"Female","269"
"Male","216"
"","485"
"Others",""
"Female","41"
"Male","30"
"","71"
"Raji",""
"Female","164"
"Male","160"
"","324"
"Sanyasi/Dasnami",""
"Female","220"
"Male","147"
"","367"
"Sarki",""
"Female","385"
"Male","328"
"","713"
"Tamang",""
"Female","329"
"Male","290"
"","619"
"Teli",""
"Female","9"
"Male","7"
"","16"
"Terai Others",""
"Female","13"
"Male","10"
"","23"
"Thakuri",""
"Female","560"
"Male","436"
"","996"
"Tharu",""
"Female","10254"
"Male","9618"
"","19872"
"Undefined Others",""
"Female","11"
"Male","7"
"","18"
"Yadav",""
"Female","7"
"Male","13"
"","20"
