"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","19"
"Male","20"
"Bangali",""
"Female","11"
"Male","12"
"Bantar/Sardar",""
"Female","292"
"Male","284"
"Baraee",""
"Female","79"
"Male","91"
"Brahman - Hill",""
"Female","56"
"Male","42"
"Brahman - Tarai",""
"Female","244"
"Male","253"
"Chamar/ Harijan/ Ram",""
"Female","492"
"Male","482"
"Chhetri",""
"Female","17"
"Male","15"
"Dhanuk",""
"Female","120"
"Male","98"
"Dhobi",""
"Female","264"
"Male","219"
"Dom",""
"Female","40"
"Male","42"
"Dura",""
"Female","5"
"Male","9"
"Hajam/Thakur",""
"Female","241"
"Male","219"
"Halwai",""
"Female","33"
"Male","43"
"Kami",""
"Female","25"
"Male","26"
"Kathabaniyan",""
"Female","196"
"Male","215"
"Kewat",""
"Female","23"
"Male","21"
"Khatwe",""
"Female","1647"
"Male","1545"
"Koiri/Kushwaha",""
"Female","459"
"Male","493"
"Kumal",""
"Female","25"
"Male","25"
"Kumhar",""
"Female","31"
"Male","35"
"Magar",""
"Female","15"
"Male","17"
"Mali",""
"Female","11"
"Male","12"
"Mallaha",""
"Female","531"
"Male","496"
"Musahar",""
"Female","885"
"Male","885"
"Musalman",""
"Female","761"
"Male","725"
"Others",""
"Female","21"
"Male","10"
"Sanyasi/Dasnami",""
"Female","61"
"Male","83"
"Sonar",""
"Female","38"
"Male","34"
"Sudhi",""
"Female","147"
"Male","128"
"Sunuwar",""
"Female","87"
"Male","77"
"Tamang",""
"Female","7"
"Male","4"
"Tatma/Tatwa",""
"Female","122"
"Male","127"
"Teli",""
"Female","641"
"Male","589"
"Terai Others",""
"Female","56"
"Male","60"
"Tharu",""
"Female","80"
"Male","67"
"Yadav",""
"Female","3315"
"Male","3410"
