"Population by disability type","Number"
"Blind/low vision",""
"Female","438"
"Male","439"
"","877"
"Deaf/hard of hearing",""
"Female","433"
"Male","435"
"","868"
"Deaf-Blind",""
"Female","38"
"Male","41"
"","79"
"Intellectual disable",""
"Female","93"
"Male","98"
"","191"
"Mental disable",""
"Female","242"
"Male","224"
"","466"
"Multiple disable",""
"Female","180"
"Male","253"
"","433"
"No disability",""
"Female","147457"
"Male","113107"
"","260564"
"Physical",""
"Female","1019"
"Male","1434"
"","2453"
"Speech problem",""
"Female","335"
"Male","364"
"","699"
