"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","87"
"","162"
"Deaf/hard of hearing",""
"Female","129"
"Male","107"
"","236"
"Deaf-Blind",""
"Female","6"
"Male","11"
"","17"
"Intellectual disable",""
"Female","14"
"Male","19"
"","33"
"Mental disable",""
"Female","35"
"Male","33"
"","68"
"Multiple disable",""
"Female","29"
"Male","26"
"","55"
"No disability",""
"Female","29551"
"Male","23465"
"","53016"
"Physical",""
"Female","164"
"Male","228"
"","392"
"Speech problem",""
"Female","80"
"Male","81"
"","161"
