"Population by Educational Attainment","Number"
"Beginners",""
"Female","114"
"Male","117"
"Graduate and Equivalent",""
"Female","18"
"Male","130"
"Intermediate and Equivalent",""
"Female","156"
"Male","494"
"Level not Stated",""
"Female","73"
"Male","90"
"Lower Secondary (Class 6-8)",""
"Female","817"
"Male","1597"
"Non Formal Education",""
"Female","81"
"Male","171"
"Others",""
"Female","53"
"Male","30"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","18"
"Primary Education (1-5 Class)",""
"Female","2594"
"Male","3615"
"Secondary Level (Class 9-10)",""
"Female","321"
"Male","865"
"SLC and Equivalent",""
"Female","224"
"Male","764"
