"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","29"
"Male","35"
"Bangali",""
"Female","66"
"Male","63"
"Baraee",""
"Female","29"
"Male","34"
"Bin",""
"Female","407"
"Male","403"
"Brahman - Hill",""
"Female","71"
"Male","67"
"Brahman - Tarai",""
"Female","163"
"Male","181"
"Chamar/ Harijan/ Ram",""
"Female","1031"
"Male","1096"
"Chhetri",""
"Female","25"
"Male","26"
"Dhanuk",""
"Female","6"
"Male","14"
"Dhobi",""
"Female","522"
"Male","588"
"Dhunia",""
"Female","27"
"Male","29"
"Dom",""
"Female","33"
"Male","33"
"Dusadh/ Pasawan/ Pasi",""
"Female","897"
"Male","931"
"Gaderi/Bhedihar",""
"Female","41"
"Male","45"
"Hajam/Thakur",""
"Female","282"
"Male","284"
"Kalwar",""
"Female","334"
"Male","355"
"Kami",""
"Female","21"
"Male","20"
"Kanu",""
"Female","1082"
"Male","1169"
"Kathabaniyan",""
"Female","532"
"Male","578"
"Kayastha",""
"Female","58"
"Male","63"
"Kewat",""
"Female","6"
"Male","6"
"Koiri/Kushwaha",""
"Female","100"
"Male","102"
"Kumhar",""
"Female","211"
"Male","217"
"Kurmi",""
"Female","1306"
"Male","1357"
"Lohar",""
"Female","522"
"Male","561"
"Mali",""
"Female","109"
"Male","103"
"Mallaha",""
"Female","1540"
"Male","1633"
"Marwadi",""
"Female","137"
"Male","175"
"Musahar",""
"Female","77"
"Male","81"
"Musalman",""
"Female","3525"
"Male","3429"
"Natuwa",""
"Female","5"
"Male","7"
"Newar",""
"Female","152"
"Male","151"
"Nuniya",""
"Female","207"
"Male","251"
"Others",""
"Female","26"
"Male","16"
"Rai",""
"Female","48"
"Male","48"
"Rajbansi",""
"Female","11"
"Male","18"
"Rajput",""
"Female","8"
"Male","16"
"Sanyasi/Dasnami",""
"Female","114"
"Male","109"
"Sherpa",""
"Female","5"
"Male","6"
"Sonar",""
"Female","60"
"Male","72"
"Sudhi",""
"Female","67"
"Male","61"
"Tatma/Tatwa",""
"Female","411"
"Male","451"
"Teli",""
"Female","659"
"Male","677"
"Terai Others",""
"Female","57"
"Male","55"
"Tharu",""
"Female","145"
"Male","123"
"Yadav",""
"Female","4541"
"Male","4966"
