"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","43"
"","90"
"Deaf/hard of hearing",""
"Female","17"
"Male","14"
"","31"
"Deaf-Blind",""
"Female","9"
"Male","9"
"","18"
"Intellectual disable",""
"Female","8"
"Male","6"
"","14"
"Mental disable",""
"Female","12"
"Male","13"
"","25"
"Multiple disable",""
"Female","12"
"Male","14"
"","26"
"No disability",""
"Female","13675"
"Male","14216"
"","27891"
"Physical",""
"Female","41"
"Male","84"
"","125"
"Speech problem",""
"Female","10"
"Male","21"
"","31"
