"Population by Educational Attainment","Number"
"Beginners",""
"Female","66"
"Male","66"
"","132"
"Graduate and Equivalent",""
"Female","51"
"Male","226"
"","277"
"Intermediate and Equivalent",""
"Female","132"
"Male","364"
"","496"
"Level not Stated",""
"Female","59"
"Male","91"
"","150"
"Lower Secondary (Class 6-8)",""
"Female","650"
"Male","1165"
"","1815"
"Non Formal Education",""
"Female","3"
"Male","14"
"","17"
"Others",""
"Female","2"
"Male","4"
"","6"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","31"
"","32"
"Primary Education (1-5 Class)",""
"Female","1982"
"Male","2457"
"","4439"
"Secondary Level (Class 9-10)",""
"Female","362"
"Male","827"
"","1189"
"SLC and Equivalent",""
"Female","263"
"Male","649"
"","912"
