"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","39"
"","68"
"Deaf/hard of hearing",""
"Female","4"
"Male","12"
"","16"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","7"
"Male","15"
"","22"
"Multiple disable",""
"Female","17"
"Male","14"
"","31"
"No disability",""
"Female","10539"
"Male","10094"
"","20633"
"Physical",""
"Female","57"
"Male","88"
"","145"
"Speech problem",""
"Female","8"
"Male","18"
"","26"
