"Population by Mother tongue","Number"
"Bahing",""
"Female","10"
"Male","9"
"Bantawa",""
"Female","4175"
"Male","3725"
"Bhojpuri",""
"Female","3"
"Male","8"
"Chamling",""
"Female","603"
"Male","532"
"Dumi",""
"Female","19"
"Male","16"
"Gurung",""
"Female","11"
"Male","16"
"Kulung",""
"Female","14"
"Male","12"
"Limbu",""
"Female","35"
"Male","30"
"Magar",""
"Female","598"
"Male","535"
"Maithili",""
"Female","300"
"Male","337"
"Majhi",""
"Female","110"
"Male","118"
"Nepali",""
"Female","13435"
"Male","11272"
"Newar",""
"Female","99"
"Male","79"
"Not Reported",""
"Female","24"
"Male","27"
"Others",""
"Female","12"
"Male","16"
"Puma",""
"Female","62"
"Male","67"
"Rai",""
"Female","485"
"Male","448"
"Sampang",""
"Female","47"
"Male","43"
"Sherpa",""
"Female","10"
"Male","10"
"Sunuwar",""
"Female","8"
"Male","9"
"Tamang",""
"Female","652"
"Male","547"
"Thami",""
"Female","15"
"Male","19"
"Tharu",""
"Female","1984"
"Male","1671"
"Thulung",""
"Female","35"
"Male","33"
"Uranw/Urau",""
"Female","20"
"Male","15"
"Urdu",""
"Female","7"
"Male","6"
"Yakkha",""
"Female","8"
"Male","5"
