"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","26"
"","55"
"Deaf/hard of hearing",""
"Female","23"
"Male","34"
"","57"
"Deaf-Blind",""
"Female","6"
"Male","4"
"","10"
"Intellectual disable",""
"Female","7"
"Male","8"
"","15"
"Mental disable",""
"Female","6"
"Male","14"
"","20"
"Multiple disable",""
"Female","12"
"Male","16"
"","28"
"No disability",""
"Female","5896"
"Male","5536"
"","11432"
"Physical",""
"Female","75"
"Male","94"
"","169"
"Speech problem",""
"Female","6"
"Male","14"
"","20"
