"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","25"
"","63"
"Deaf/hard of hearing",""
"Female","41"
"Male","30"
"","71"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","12"
"Male","10"
"","22"
"Multiple disable",""
"Female","14"
"Male","9"
"","23"
"No disability",""
"Female","5834"
"Male","5383"
"","11217"
"Physical",""
"Female","53"
"Male","67"
"","120"
"Speech problem",""
"Female","17"
"Male","11"
"","28"
