"Population by Educational Attainment","Number"
"Beginners",""
"Female","866"
"Male","1091"
"Graduate and Equivalent",""
"Female","799"
"Male","1596"
"Intermediate and Equivalent",""
"Female","2296"
"Male","2781"
"Level not Stated",""
"Female","31"
"Male","47"
"Lower Secondary (Class 6-8)",""
"Female","6077"
"Male","6067"
"Non Formal Education",""
"Female","994"
"Male","1008"
"Others",""
"Female","3"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","159"
"Male","542"
"Primary Education (1-5 Class)",""
"Female","8508"
"Male","9376"
"Secondary Level (Class 9-10)",""
"Female","4915"
"Male","4464"
"SLC and Equivalent",""
"Female","4414"
"Male","4270"
