"Population by Educational Attainment","Number"
"Beginners",""
"Female","498"
"Male","612"
"","1110"
"Graduate and Equivalent",""
"Female","28"
"Male","64"
"","92"
"Intermediate and Equivalent",""
"Female","131"
"Male","236"
"","367"
"Level not Stated",""
"Female","12"
"Male","13"
"","25"
"Lower Secondary (Class 6-8)",""
"Female","1949"
"Male","1810"
"","3759"
"Non Formal Education",""
"Female","390"
"Male","590"
"","980"
"Others",""
"Female","6"
"Male","13"
"","19"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","18"
"","19"
"Primary Education (1-5 Class)",""
"Female","5673"
"Male","6905"
"","12578"
"Secondary Level (Class 9-10)",""
"Female","547"
"Male","563"
"","1110"
"SLC and Equivalent",""
"Female","304"
"Male","408"
"","712"
