"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","64"
"","114"
"Deaf/hard of hearing",""
"Female","59"
"Male","50"
"","109"
"Deaf-Blind",""
"Female","11"
"Male","7"
"","18"
"Intellectual disable",""
"Female","7"
"Male","18"
"","25"
"Mental disable",""
"Female","37"
"Male","54"
"","91"
"Multiple disable",""
"Female","20"
"Male","29"
"","49"
"No disability",""
"Female","32043"
"Male","30730"
"","62773"
"Physical",""
"Female","121"
"Male","171"
"","292"
"Speech problem",""
"Female","50"
"Male","72"
"","122"
