"Population by Mother tongue","Number"
"Bangla",""
"Female","55"
"Male","64"
"","119"
"Bantawa",""
"Female","8"
"Male","12"
"","20"
"Belhare",""
"Female","46"
"Male","51"
"","97"
"Bhojpuri",""
"Female","125"
"Male","131"
"","256"
"Bhujel",""
"Female","642"
"Male","595"
"","1237"
"Chamling",""
"Female","25"
"Male","19"
"","44"
"Danuwar",""
"Female","17"
"Male","20"
"","37"
"Gurung",""
"Female","31"
"Male","18"
"","49"
"Hindi",""
"Female","27"
"Male","73"
"","100"
"Limbu",""
"Female","51"
"Male","43"
"","94"
"Magahi",""
"Female","23"
"Male","23"
"","46"
"Magar",""
"Female","232"
"Male","223"
"","455"
"Maithili",""
"Female","14994"
"Male","15407"
"","30401"
"Nepali",""
"Female","7774"
"Male","6874"
"","14648"
"Newar",""
"Female","365"
"Male","350"
"","715"
"Not Reported",""
"Female","81"
"Male","77"
"","158"
"Others",""
"Female","40"
"Male","47"
"","87"
"Rai",""
"Female","44"
"Male","35"
"","79"
"Rajsthani",""
"Female","102"
"Male","93"
"","195"
"Sanskrit",""
"Female","8"
"Male","9"
"","17"
"Santhali",""
"Female","102"
"Male","96"
"","198"
"Sherpa",""
"Female","10"
"Male","6"
"","16"
"Sunuwar",""
"Female","16"
"Male","21"
"","37"
"Tamang",""
"Female","77"
"Male","76"
"","153"
"Tharu",""
"Female","2522"
"Male","2174"
"","4696"
"Uranw/Urau",""
"Female","1074"
"Male","944"
"","2018"
"Urdu",""
"Female","3907"
"Male","3714"
"","7621"
