"Population by Mother tongue","Number"
"Avadhi",""
"Female","10862"
"Male","11770"
"Bangla",""
"Female","9"
"Male","9"
"Bhojpuri",""
"Female","36"
"Male","41"
"Doteli",""
"Female","10"
"Male","8"
"Gurung",""
"Female","12"
"Male","9"
"Hindi",""
"Female","384"
"Male","385"
"Kham",""
"Female","134"
"Male","119"
"Magar",""
"Female","557"
"Male","460"
"Maithili",""
"Female","262"
"Male","296"
"Nepali",""
"Female","10161"
"Male","8811"
"Newar",""
"Female","18"
"Male","19"
"Not Reported",""
"Female","12"
"Male","14"
"Others",""
"Female","15"
"Male","5"
"Rai",""
"Female","19"
"Male","12"
"Sherpa",""
"Female","62"
"Male","70"
"Tamang",""
"Female","19"
"Male","18"
"Tharu",""
"Female","5970"
"Male","5859"
"Uranw/Urau",""
"Female","6"
"Male","11"
"Urdu",""
"Female","5048"
"Male","5209"
"Yakkha",""
"Female","24"
"Male","36"
