"Population by disability type","Number"
"Blind/low vision",""
"Female","76"
"Male","74"
"","150"
"Deaf/hard of hearing",""
"Female","17"
"Male","23"
"","40"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","11"
"Male","13"
"","24"
"Multiple disable",""
"Female","12"
"Male","19"
"","31"
"No disability",""
"Female","20425"
"Male","19531"
"","39956"
"Physical",""
"Female","77"
"Male","135"
"","212"
"Speech problem",""
"Female","29"
"Male","48"
"","77"
