"Population by Educational Attainment","Number"
"Beginners",""
"Female","543"
"Male","573"
"Graduate and Equivalent",""
"Female","80"
"Male","321"
"Intermediate and Equivalent",""
"Female","578"
"Male","850"
"Level not Stated",""
"Female","31"
"Male","39"
"Lower Secondary (Class 6-8)",""
"Female","3179"
"Male","3677"
"Non Formal Education",""
"Female","638"
"Male","914"
"Others",""
"Female","6"
"Male","18"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","78"
"Primary Education (1-5 Class)",""
"Female","6060"
"Male","6925"
"Secondary Level (Class 9-10)",""
"Female","2190"
"Male","2358"
"SLC and Equivalent",""
"Female","1891"
"Male","1972"
