"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","23"
"","71"
"Deaf/hard of hearing",""
"Female","54"
"Male","59"
"","113"
"Deaf-Blind",""
"Female","0"
"Male","3"
"","3"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","6"
"Male","8"
"","14"
"Multiple disable",""
"Female","11"
"Male","11"
"","22"
"No disability",""
"Female","9595"
"Male","8142"
"","17737"
"Physical",""
"Female","42"
"Male","65"
"","107"
"Speech problem",""
"Female","18"
"Male","34"
"","52"
