"Population by Single Year of Age","Number"
"0",""
"Female","272"
"Male","278"
"1",""
"Female","213"
"Male","262"
"10",""
"Female","465"
"Male","459"
"11",""
"Female","379"
"Male","393"
"12",""
"Female","457"
"Male","488"
"13",""
"Female","499"
"Male","473"
"14",""
"Female","449"
"Male","464"
"15",""
"Female","439"
"Male","419"
"16",""
"Female","436"
"Male","391"
"17",""
"Female","419"
"Male","379"
"18",""
"Female","503"
"Male","432"
"19",""
"Female","297"
"Male","244"
"2",""
"Female","242"
"Male","277"
"20",""
"Female","365"
"Male","285"
"21",""
"Female","306"
"Male","260"
"22",""
"Female","372"
"Male","297"
"23",""
"Female","265"
"Male","204"
"24",""
"Female","262"
"Male","230"
"25",""
"Female","337"
"Male","264"
"26",""
"Female","262"
"Male","240"
"27",""
"Female","226"
"Male","223"
"28",""
"Female","289"
"Male","278"
"29",""
"Female","162"
"Male","162"
"3",""
"Female","276"
"Male","298"
"30",""
"Female","390"
"Male","314"
"31",""
"Female","134"
"Male","143"
"32",""
"Female","235"
"Male","238"
"33",""
"Female","166"
"Male","157"
"34",""
"Female","152"
"Male","123"
"35",""
"Female","352"
"Male","264"
"36",""
"Female","197"
"Male","192"
"37",""
"Female","140"
"Male","136"
"38",""
"Female","202"
"Male","174"
"39",""
"Female","116"
"Male","115"
"4",""
"Female","319"
"Male","320"
"40",""
"Female","389"
"Male","307"
"41",""
"Female","121"
"Male","118"
"42",""
"Female","163"
"Male","205"
"43",""
"Female","116"
"Male","113"
"44",""
"Female","124"
"Male","105"
"45",""
"Female","265"
"Male","260"
"46",""
"Female","112"
"Male","136"
"47",""
"Female","100"
"Male","102"
"48",""
"Female","133"
"Male","141"
"49",""
"Female","95"
"Male","86"
"5",""
"Female","388"
"Male","348"
"50",""
"Female","261"
"Male","294"
"51",""
"Female","83"
"Male","93"
"52",""
"Female","131"
"Male","148"
"53",""
"Female","76"
"Male","86"
"54",""
"Female","93"
"Male","91"
"55",""
"Female","179"
"Male","172"
"56",""
"Female","95"
"Male","105"
"57",""
"Female","86"
"Male","81"
"58",""
"Female","84"
"Male","108"
"59",""
"Female","78"
"Male","74"
"6",""
"Female","348"
"Male","335"
"60",""
"Female","212"
"Male","178"
"61",""
"Female","69"
"Male","73"
"62",""
"Female","67"
"Male","72"
"63",""
"Female","56"
"Male","61"
"64",""
"Female","58"
"Male","51"
"65",""
"Female","122"
"Male","107"
"66",""
"Female","45"
"Male","73"
"67",""
"Female","78"
"Male","70"
"68",""
"Female","82"
"Male","102"
"69",""
"Female","35"
"Male","48"
"7",""
"Female","425"
"Male","407"
"70",""
"Female","130"
"Male","111"
"71",""
"Female","34"
"Male","32"
"72",""
"Female","58"
"Male","69"
"73",""
"Female","34"
"Male","33"
"74",""
"Female","28"
"Male","29"
"75",""
"Female","53"
"Male","74"
"76",""
"Female","40"
"Male","23"
"77",""
"Female","38"
"Male","34"
"78",""
"Female","68"
"Male","59"
"79",""
"Female","28"
"Male","22"
"8",""
"Female","403"
"Male","434"
"80",""
"Female","73"
"Male","42"
"81",""
"Female","15"
"Male","21"
"82",""
"Female","20"
"Male","17"
"83",""
"Female","17"
"Male","27"
"84",""
"Female","16"
"Male","15"
"85",""
"Female","71"
"Male","70"
"9",""
"Female","371"
"Male","380"
