"Industries Employment","Number"
"Accommodation,  food",""
"Female","663"
"Male","825"
"Administrative, support service",""
"Female","4"
"Male","10"
"Agriculture, forestry and  fishing",""
"Female","191"
"Male","593"
"Arts, entertainment, recreation",""
"Female","5"
"Male","16"
"Construction",""
"Female","2"
"Male","3"
"Education",""
"Female","1746"
"Male","1994"
"Electricity, gas and water",""
"Female","12"
"Male","52"
"Financial intermediation and insurance",""
"Female","188"
"Male","249"
"Health, social work",""
"Female","348"
"Male","275"
"Information and communication",""
"Female","9"
"Male","91"
"Manufacturing",""
"Female","329"
"Male","1240"
"Other service activities",""
"Female","304"
"Male","506"
"Professional, scientific, techniqual activity",""
"Female","24"
"Male","80"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","27"
"Male","90"
"Water supply, wet management",""
"Female","5"
"Male","13"
"Wholesale, retail trade",""
"Female","1988"
"Male","2708"
