"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","26"
"","47"
"Deaf/hard of hearing",""
"Female","10"
"Male","3"
"","13"
"Deaf-Blind",""
"Female","1"
"Male","7"
"","8"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","6"
"Male","16"
"","22"
"Multiple disable",""
"Female","6"
"Male","7"
"","13"
"No disability",""
"Female","10335"
"Male","11084"
"","21419"
"Physical",""
"Female","33"
"Male","67"
"","100"
"Speech problem",""
"Female","10"
"Male","14"
"","24"
