"Population by Educational Attainment","Number"
"Beginners",""
"Female","87"
"Male","68"
"Graduate and Equivalent",""
"Female","12"
"Male","38"
"Intermediate and Equivalent",""
"Female","72"
"Male","108"
"Level not Stated",""
"Female","46"
"Male","68"
"Lower Secondary (Class 6-8)",""
"Female","812"
"Male","818"
"Non Formal Education",""
"Female","60"
"Male","75"
"Others",""
"Female","0"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","7"
"Primary Education (1-5 Class)",""
"Female","1675"
"Male","1972"
"Secondary Level (Class 9-10)",""
"Female","385"
"Male","495"
"SLC and Equivalent",""
"Female","205"
"Male","273"
