"Population by Educational Attainment","Number"
"Beginners",""
"Female","292"
"Male","288"
"Graduate and Equivalent",""
"Female","11"
"Male","63"
"Intermediate and Equivalent",""
"Female","129"
"Male","242"
"Level not Stated",""
"Female","17"
"Male","36"
"Lower Secondary (Class 6-8)",""
"Female","1111"
"Male","1477"
"Non Formal Education",""
"Female","189"
"Male","252"
"Others",""
"Female","4"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","10"
"Primary Education (1-5 Class)",""
"Female","2592"
"Male","2942"
"Secondary Level (Class 9-10)",""
"Female","420"
"Male","681"
"SLC and Equivalent",""
"Female","305"
"Male","547"
