"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","40"
"","100"
"Deaf/hard of hearing",""
"Female","20"
"Male","13"
"","33"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","13"
"Male","24"
"","37"
"Multiple disable",""
"Female","11"
"Male","24"
"","35"
"No disability",""
"Female","15448"
"Male","14551"
"","29999"
"Physical",""
"Female","60"
"Male","74"
"","134"
"Speech problem",""
"Female","27"
"Male","30"
"","57"
