"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","57"
"","122"
"Deaf/hard of hearing",""
"Female","96"
"Male","104"
"","200"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","8"
"Male","11"
"","19"
"Mental disable",""
"Female","19"
"Male","23"
"","42"
"Multiple disable",""
"Female","43"
"Male","38"
"","81"
"No disability",""
"Female","19050"
"Male","16676"
"","35726"
"Physical",""
"Female","130"
"Male","187"
"","317"
"Speech problem",""
"Female","38"
"Male","69"
"","107"
