"Population by Single Year of Age","Number"
"0",""
"Female","323"
"Male","365"
"1",""
"Female","256"
"Male","266"
"10",""
"Female","670"
"Male","774"
"11",""
"Female","278"
"Male","292"
"12",""
"Female","596"
"Male","619"
"13",""
"Female","283"
"Male","329"
"14",""
"Female","382"
"Male","414"
"15",""
"Female","368"
"Male","390"
"16",""
"Female","368"
"Male","447"
"17",""
"Female","206"
"Male","275"
"18",""
"Female","351"
"Male","466"
"19",""
"Female","147"
"Male","180"
"2",""
"Female","425"
"Male","397"
"20",""
"Female","430"
"Male","478"
"21",""
"Female","125"
"Male","166"
"22",""
"Female","358"
"Male","314"
"23",""
"Female","195"
"Male","130"
"24",""
"Female","238"
"Male","181"
"25",""
"Female","578"
"Male","536"
"26",""
"Female","214"
"Male","162"
"27",""
"Female","176"
"Male","150"
"28",""
"Female","422"
"Male","291"
"29",""
"Female","78"
"Male","78"
"3",""
"Female","450"
"Male","502"
"30",""
"Female","681"
"Male","575"
"31",""
"Female","61"
"Male","65"
"32",""
"Female","368"
"Male","219"
"33",""
"Female","173"
"Male","78"
"34",""
"Female","123"
"Male","88"
"35",""
"Female","596"
"Male","599"
"36",""
"Female","134"
"Male","108"
"37",""
"Female","101"
"Male","96"
"38",""
"Female","283"
"Male","183"
"39",""
"Female","58"
"Male","59"
"4",""
"Female","461"
"Male","416"
"40",""
"Female","578"
"Male","560"
"41",""
"Female","51"
"Male","60"
"42",""
"Female","187"
"Male","155"
"43",""
"Female","98"
"Male","40"
"44",""
"Female","52"
"Male","71"
"45",""
"Female","453"
"Male","509"
"46",""
"Female","84"
"Male","53"
"47",""
"Female","58"
"Male","72"
"48",""
"Female","222"
"Male","129"
"49",""
"Female","26"
"Male","25"
"5",""
"Female","572"
"Male","696"
"50",""
"Female","401"
"Male","499"
"51",""
"Female","36"
"Male","38"
"52",""
"Female","96"
"Male","103"
"53",""
"Female","60"
"Male","37"
"54",""
"Female","43"
"Male","38"
"55",""
"Female","313"
"Male","383"
"56",""
"Female","47"
"Male","55"
"57",""
"Female","48"
"Male","54"
"58",""
"Female","164"
"Male","89"
"59",""
"Female","28"
"Male","20"
"6",""
"Female","476"
"Male","500"
"60",""
"Female","358"
"Male","434"
"61",""
"Female","37"
"Male","30"
"62",""
"Female","92"
"Male","92"
"63",""
"Female","55"
"Male","24"
"64",""
"Female","23"
"Male","27"
"65",""
"Female","256"
"Male","316"
"66",""
"Female","38"
"Male","39"
"67",""
"Female","27"
"Male","33"
"68",""
"Female","37"
"Male","52"
"69",""
"Female","9"
"Male","9"
"7",""
"Female","442"
"Male","449"
"70",""
"Female","184"
"Male","207"
"71",""
"Female","17"
"Male","26"
"72",""
"Female","25"
"Male","35"
"73",""
"Female","14"
"Male","14"
"74",""
"Female","3"
"Male","5"
"75",""
"Female","109"
"Male","104"
"76",""
"Female","7"
"Male","15"
"77",""
"Female","5"
"Male","7"
"78",""
"Female","6"
"Male","14"
"79",""
"Female","4"
"Male","4"
"8",""
"Female","581"
"Male","671"
"80",""
"Female","46"
"Male","50"
"81",""
"Female","0"
"Male","5"
"82",""
"Female","6"
"Male","5"
"85",""
"Female","32"
"Male","37"
"9",""
"Female","271"
"Male","272"
